# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "8" "-s" "2" "-a" "/mnt/pv_compute/yifan/ref_genome/mm10.ncbiRefSeq.gtf" "-o" "/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/counts/S2_STAR2_practice_featurecounts.txt" "/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/N01_AM_Naive_Aligned.sortedByCoord.out.bam" "/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/N02_AM_Naive_Aligned.sortedByCoord.out.bam" "/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/N03_AM_Naive_Aligned.sortedByCoord.out.bam" "/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/N04_AM_Naive_Aligned.sortedByCoord.out.bam" "/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/R01_AM_Allo2h_Aligned.sortedByCoord.out.bam" "/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/R02_AM_Allo2h_Aligned.sortedByCoord.out.bam" "/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/R03_AM_Allo2h_Aligned.sortedByCoord.out.bam" "/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/R04_AM_Allo2h_Aligned.sortedByCoord.out.bam" "/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/R05_AM_Allo24h_Aligned.sortedByCoord.out.bam" "/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/R06_AM_Allo24h_Aligned.sortedByCoord.out.bam" "/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/R07_AM_Allo24h_Aligned.sortedByCoord.out.bam" "/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/R08_AM_Allo24h_Aligned.sortedByCoord.out.bam" 
Geneid	/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/N01_AM_Naive_Aligned.sortedByCoord.out.bam	/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/N02_AM_Naive_Aligned.sortedByCoord.out.bam	/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/N03_AM_Naive_Aligned.sortedByCoord.out.bam	/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/N04_AM_Naive_Aligned.sortedByCoord.out.bam	/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/R01_AM_Allo2h_Aligned.sortedByCoord.out.bam	/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/R02_AM_Allo2h_Aligned.sortedByCoord.out.bam	/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/R03_AM_Allo2h_Aligned.sortedByCoord.out.bam	/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/R04_AM_Allo2h_Aligned.sortedByCoord.out.bam	/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/R05_AM_Allo24h_Aligned.sortedByCoord.out.bam	/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/R06_AM_Allo24h_Aligned.sortedByCoord.out.bam	/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/R07_AM_Allo24h_Aligned.sortedByCoord.out.bam	/mnt/pv_compute/yifan/practice/RNA-seq/raw_data/result/STAR/R08_AM_Allo24h_Aligned.sortedByCoord.out.bam
Gm8843	0	0	0	0	0	0	0	0	0	0	0	0
Gm31690	0	0	0	0	0	0	0	0	0	0	0	0
Dbx2	0	0	1	1	0	0	0	1	0	0	0	0
Gm24668	0	0	0	0	0	0	0	0	0	0	0	0
Gm31551	0	0	0	0	0	0	0	0	0	0	0	0
Gm31370	0	0	0	0	0	0	0	0	0	0	0	0
Nell2	0	0	2	3	0	0	2	4	0	0	0	0
Gm31075	0	0	0	0	0	0	0	0	0	0	0	0
LOC100043315	0	0	0	0	0	0	0	0	0	0	0	0
Gm30810	0	0	0	0	0	0	0	0	0	0	0	0
Gm30953	0	0	0	0	0	0	0	0	0	0	0	0
Gm52203	0	0	0	0	0	0	0	0	0	0	0	0
Gm23129	0	0	0	0	0	0	0	0	0	0	0	0
Gm31007	0	0	0	0	0	0	0	0	0	0	0	0
Gm25546	0	0	0	0	0	0	0	0	0	0	0	0
Tmem117	0	0	1	0	0	0	0	2	0	0	0	0
Gm30754	0	0	0	0	0	0	0	0	0	0	0	0
Twf1	577	581	481	490	1085	979	861	741	985	797	675	649
Irak4	499	500	427	324	353	376	262	343	635	590	394	444
Pus7l	64	39	60	43	50	104	87	40	90	113	77	84
Adamts20	0	0	0	1	0	0	0	0	0	0	0	0
D630010B17Rik	0	0	0	0	0	0	0	0	0	0	0	0
Gm41388	0	0	0	0	0	0	0	0	0	0	0	0
Gm30665	0	0	0	0	0	0	0	0	0	0	0	0
Gm30609	0	0	0	0	0	0	0	0	0	0	0	0
9430014N10Rik	0	0	0	0	0	0	0	0	0	0	0	0
Gm30339	0	0	0	0	0	0	0	0	0	0	0	0
Gm41386	0	0	0	0	0	0	0	0	0	0	0	0
Zfp42-ps1	0	0	0	0	0	0	0	0	0	0	0	0
Gm41387	0	0	0	0	0	0	0	0	0	0	0	0
Gm41385	0	0	0	0	0	0	0	0	0	0	0	0
Prickle1	2	4	3	2	9	7	7	0	1	4	4	7
Gm30181	4	3	5	1	1	4	5	3	8	3	3	2
Pphln1	562	526	500	405	773	811	761	528	979	801	831	848
Zcrb1	234	207	191	182	340	360	365	230	376	358	281	306
Gm26371	0	0	0	0	0	0	0	0	0	0	0	0
Gm52193	12	12	3	11	10	9	7	4	7	5	5	8
Yaf2	272	272	248	208	330	342	300	276	374	341	323	304
Gxylt1	514	392	409	362	902	636	489	524	749	642	641	635
Gm4335	2	1	2	2	2	5	3	4	8	4	4	2
Gm38535	0	0	0	0	0	0	0	0	0	1	0	0
Gm18685	0	0	0	0	0	0	0	0	0	0	0	0
Gm30085	0	0	0	0	0	0	0	0	0	0	0	0
Gm18815	0	0	0	0	0	0	0	0	0	0	0	0
4930588J15Rik	0	0	0	0	0	0	0	0	0	0	0	0
Gm52207	0	0	0	0	0	0	0	0	0	0	0	0
Pdzrn4	0	0	0	0	0	0	0	0	0	0	1	0
LOC115486415	2	1	0	1	0	1	0	1	1	1	1	0
Gm26760	0	0	0	1	1	0	0	1	0	0	0	0
Gm36901	0	0	0	1	0	0	0	0	0	0	0	0
Cntn1	0	0	2	14	0	0	5	7	0	0	0	1
Gm3888	0	0	0	0	0	0	0	0	0	0	0	0
Gm18979	0	0	0	0	1	0	3	3	0	0	0	1
Smgc	0	0	0	0	0	0	0	0	0	0	0	0
Gm15382	3	2	2	1	3	1	3	1	0	2	2	0
Lrrk2	486	366	388	355	392	326	218	311	630	411	486	495
Gm15381	0	0	0	0	0	0	0	0	0	0	0	0
Gm15383	0	0	0	0	0	0	0	0	0	0	0	0
Slc2a13	4	2	0	3	2	3	2	3	3	1	0	3
CN725425	0	1	0	0	1	0	0	0	0	0	0	1
Abcd2	3240	2920	2858	2493	2454	1853	1292	2300	4190	2575	3579	3148
Gm7167	0	0	0	0	0	0	0	0	1	0	0	0
Gm18814	0	0	0	0	0	0	0	0	0	0	0	0
Gm36710	0	0	0	0	0	0	0	0	0	0	0	0
Gm52215	1	4	2	2	2	4	4	0	5	7	3	4
Gm52216	1	0	0	0	0	0	0	0	0	0	0	0
Kif21a	69	56	52	46	70	89	76	52	163	139	128	131
Gm36618	0	0	0	0	0	0	0	0	0	0	0	0
Spn-ps	0	0	0	0	0	1	0	0	0	0	0	0
Tcea1-ps1	4	5	5	2	1	3	4	1	5	6	3	8
Rpl31-ps8	4	2	1	4	2	4	4	3	2	3	1	2
Gm3861	0	0	0	0	0	0	0	0	0	0	0	0
Gm6746	0	1	1	2	2	0	1	1	0	1	1	0
Cpne8	607	454	506	391	635	608	498	491	745	740	714	663
Gm18372	0	0	0	0	0	0	0	0	0	0	0	0
Gm36480	0	0	0	0	0	0	0	0	0	0	0	0
Mir7648	0	0	0	0	0	0	0	0	0	0	0	0
Alg10b	440	435	400	308	450	425	332	382	680	580	578	562
Gm24415	0	0	0	0	0	0	0	0	0	0	0	0
Gm36330	0	0	0	0	0	0	0	0	0	0	0	0
Syt10	0	0	1	0	0	0	0	0	0	1	1	0
Gm19378	22	19	19	12	34	31	42	27	26	18	17	25
Gm18476	0	0	0	0	0	0	0	0	0	0	0	0
Rabl2	67	43	33	40	41	37	38	44	68	75	40	49
Acr	0	0	0	0	0	0	0	1	0	0	0	0
Gm36221	0	0	0	0	0	0	0	0	0	0	0	0
Gm15609	0	0	0	0	1	0	0	0	0	0	0	0
Shank3	4	2	6	7	7	3	5	3	0	1	9	1
C230037L18Rik	10	4	5	4	5	6	2	5	12	8	3	10
Arsa	590	486	459	387	605	538	428	452	771	696	569	530
Mapk8ip2	2	0	1	14	1	0	2	4	1	0	1	0
C730034F03Rik	148	103	112	61	148	119	99	84	111	77	83	63
Chkb	20	17	8	9	24	12	12	11	10	6	5	12
Cpt1b	3	5	0	0	2	1	1	2	3	7	0	2
Gm44502	0	0	0	0	0	0	0	0	0	0	0	0
Syce3	0	0	0	0	0	0	0	0	0	0	0	0
Klhdc7b	0	0	0	0	0	0	0	0	0	0	0	0
Odf3b	0	0	1	0	0	0	0	0	0	1	0	0
Tymp	5	3	2	2	3	3	2	5	7	5	2	3
Sco2	1	0	0	1	0	0	0	3	0	0	0	0
Ncaph2	928	746	748	583	1128	1027	831	709	2151	2011	1735	1447
Lmf2	467	411	425	329	507	464	373	375	1054	917	780	579
Miox	0	0	0	0	0	0	0	0	0	0	0	0
Adm2	0	0	0	0	0	0	0	0	0	1	0	0
Mir6959	0	0	0	0	0	0	0	0	0	0	0	0
Sbf1	1361	1006	1034	704	1524	1540	1350	1074	1666	1337	1195	1066
Ppp6r2	177	153	154	143	191	178	143	151	199	195	193	159
Mir6958	0	0	0	0	0	0	0	0	0	0	0	0
Dennd6b	39	44	39	23	55	69	56	50	58	47	38	32
Mir7118	0	0	0	0	0	0	0	0	0	0	0	0
Plxnb2	1399	1142	1038	970	1019	879	724	1005	1626	1715	1383	1237
Mapk11	3	2	5	6	1	0	1	3	1	5	5	2
Mapk12	1	4	2	2	3	0	1	3	2	1	0	2
Gm46530	1	2	4	4	1	0	1	0	2	1	7	3
Hdac10	35	31	20	29	23	18	14	35	40	72	32	26
Tubgcp6	373	333	311	250	289	317	224	215	564	571	457	399
Selenoo	285	265	224	192	275	270	199	201	313	273	254	232
Trabd	393	380	304	229	340	317	290	291	503	443	308	284
1810021B22Rik	7	1	2	4	6	6	2	2	6	4	2	2
Panx2	0	0	0	4	0	0	1	3	0	0	1	0
Gm23737	0	0	0	0	0	0	0	0	0	0	0	0
Mov10l1	0	0	0	0	0	0	0	0	0	0	0	0
Gm8702	0	0	0	0	0	0	0	0	0	0	0	0
Mlc1	0	0	1	7	0	1	6	5	0	1	1	0
Ttll8	1	0	0	1	0	0	1	0	0	0	0	0
Gm38643	0	0	0	0	0	0	0	0	0	0	0	0
Pim3	291	286	333	331	1343	951	338	354	322	273	257	179
Gm33049	0	0	0	0	0	0	0	0	0	0	0	0
Gm23144	0	0	0	0	0	0	0	0	0	0	0	0
Creld2	496	518	456	366	561	374	359	561	931	1213	503	474
Alg12	164	140	150	113	157	144	137	109	240	259	163	154
Zbed4	50	61	38	32	38	59	36	27	91	84	55	42
Gm41377	3	2	0	5	7	7	2	1	6	5	1	2
Brd1	986	818	792	646	1201	1084	786	790	1075	906	798	839
Gm35997	0	0	1	0	1	1	0	0	1	0	0	0
n-TMcat4	0	0	0	0	0	0	0	0	0	0	0	0
Zdhhc25	0	0	0	0	0	0	0	0	0	0	0	0
Gm35831	0	0	1	0	0	0	0	0	0	0	0	0
B230214G05Rik	0	0	0	0	0	0	0	0	0	0	0	0
4930445N06Rik	0	0	0	0	0	0	0	0	0	0	0	0
Gm41376	0	0	0	0	0	0	0	0	0	0	0	0
Gm35772	0	0	0	0	0	0	0	0	0	0	0	0
Gm35711	0	0	0	0	0	0	0	0	0	0	0	0
Gm35599	0	0	0	0	0	0	0	0	0	0	0	0
Mir6393	0	0	0	0	0	0	0	0	0	0	0	0
Tafa5	4	0	3	2	4	0	4	1	4	6	1	5
Gm35471	0	0	0	0	0	0	0	0	0	0	0	0
Gm35422	0	0	0	0	0	0	0	0	0	0	0	0
A930027H12Rik	0	0	0	0	0	0	0	0	0	0	0	0
Gm35284	0	0	0	0	0	0	0	0	0	0	0	0
Gm52184	0	0	0	0	0	0	0	0	0	0	0	0
4930543I03Rik	0	0	0	0	0	0	0	0	0	0	0	0
Gm35118	0	0	0	0	0	0	0	0	0	0	0	0
Gm34965	0	0	0	0	0	0	0	0	0	0	0	0
Tbc1d22a	685	612	556	466	803	656	498	608	985	907	737	663
Gm22818	0	0	0	0	0	0	0	0	1	0	2	0
Gm15569	7	3	3	5	7	18	8	4	8	7	7	7
Cerk	1198	1099	1049	772	1451	2328	1920	1063	2200	2127	1607	1477
Gm15722	38	49	34	24	42	77	36	44	43	32	32	39
Gramd4	1609	1647	1499	979	1507	2743	2254	1225	1912	1403	1556	1516
Gm41375	0	0	0	1	0	2	0	0	0	0	0	2
Gm34764	0	0	0	0	0	0	0	0	0	0	0	0
Celsr1	6	5	4	5	8	9	12	1	5	3	3	4
Trmu	99	64	55	44	68	102	98	41	113	103	95	98
Gtse1	87	50	57	42	65	79	64	49	479	535	439	344
Ttc38	262	221	209	147	201	170	99	141	390	289	307	268
Pkdrej	0	0	0	0	0	0	0	0	0	0	0	0
Cdpf1	62	61	76	67	64	59	45	65	137	113	92	99
Ppara	0	0	0	0	0	1	0	1	0	0	0	0
Gm46529	0	0	0	0	0	0	0	0	0	0	0	0
Gm34622	0	0	0	0	0	0	0	0	0	0	0	0
Mirlet7b	0	0	0	0	0	0	0	0	0	0	0	0
Mirlet7c-2	0	0	0	0	0	0	0	0	0	0	0	0
Lncppara	0	0	0	2	0	0	0	0	0	0	1	0
D130051D11Rik	0	0	0	0	1	1	0	0	0	0	0	0
AU022754	0	0	0	0	0	0	0	0	0	0	0	0
Wnt7b	0	0	0	0	0	0	1	0	0	0	0	0
Gm4825	0	0	0	0	1	0	1	0	0	0	0	0
7530416G11Rik	0	1	0	0	0	0	0	0	0	0	0	0
Gm23517	0	0	0	0	0	1	0	0	0	1	0	0
Atxn10	1894	1684	1580	1344	2121	2159	1773	1394	3097	2579	2745	2495
Gm34337	0	0	0	0	0	0	0	0	0	0	0	0
Fbln1	0	0	1	0	0	0	0	0	1	0	0	3
Gm19277	0	0	0	0	0	0	0	0	0	0	0	0
Ribc2	0	0	0	0	0	0	0	0	0	0	0	0
Gm10923	0	0	0	0	0	0	0	0	0	0	0	0
Smc1b	0	0	0	0	1	4	2	1	4	2	7	1
Fam118a	57	42	45	46	110	106	92	75	142	144	94	108
Gm52194	0	0	0	0	0	0	0	0	0	1	0	0
Upk3a	0	0	0	0	0	0	0	0	0	0	0	0
Gm6847	1	0	0	0	0	0	0	0	0	0	0	1
Gm39558	0	0	0	0	0	0	0	0	0	0	0	0
Mir1249	0	0	3	1	2	3	5	2	3	3	3	1
5031439G07Rik	1960	1891	1778	1385	2336	2355	1880	1838	2762	2444	2202	2011
Nup50	390	347	311	254	490	477	389	416	916	881	677	686
Gm29666	0	0	0	1	0	0	3	0	1	1	4	0
4930513L16Rik	0	1	0	0	0	0	0	0	1	4	1	2
Gm46528	0	1	0	0	0	0	2	1	0	0	0	0
Gm4217	3	0	1	3	4	4	4	2	9	10	2	7
Gm52202	1	3	0	1	0	1	0	1	1	1	2	6
Phf21b	18	5	6	3	8	3	8	7	18	28	11	14
Arhgap8	1	0	0	1	1	0	2	2	0	0	1	0
Gm20556	0	0	0	0	0	0	0	0	0	0	0	0
Gm41374	0	0	0	0	0	0	0	0	0	0	0	0
Prr5	1	2	4	2	0	1	3	8	1	1	5	2
Gm34201	0	0	0	0	0	0	0	0	0	0	0	0
Gm34095	0	0	0	0	0	0	0	0	0	0	1	0
Rtl6	129	127	99	97	90	97	87	100	117	94	127	117
Gm34027	0	1	0	0	0	0	0	0	0	0	0	0
Gm33966	0	0	0	0	0	0	0	0	0	0	0	0
Gm33830	0	0	0	0	0	0	0	0	0	0	0	0
Gm46527	0	0	0	0	0	0	0	0	0	0	0	0
Shisal1	0	0	0	2	0	0	1	1	0	0	0	0
Gm5214	1	1	2	2	6	4	3	0	3	3	3	4
Parvg	1698	1403	1421	1113	1996	1988	1637	1180	3129	2766	2607	2194
Gm22890	0	0	2	0	1	0	1	0	0	0	0	1
Gm33723	0	1	3	2	1	4	1	0	4	3	0	4
Parvb	384	304	316	273	519	620	544	429	741	739	520	480
Gm52212	3	3	4	6	5	2	4	0	2	4	1	1
Samm50	944	782	676	604	1004	1094	963	693	1647	1656	1411	1281
Gm20369	0	1	1	0	0	3	0	0	1	2	1	0
Mir6392	0	0	0	0	0	0	0	0	0	0	0	0
Pnpla3	47	48	51	40	14	39	33	10	48	20	32	56
Gm33530	0	0	0	0	0	0	0	0	0	0	0	0
Gm33432	72	69	73	44	58	49	47	39	122	87	108	103
Pnpla5	266	247	261	194	184	161	94	122	262	201	237	199
Gm46526	3	5	1	6	10	6	7	3	10	8	8	7
Sult4a1	41	36	21	35	64	51	64	65	43	36	49	31
Rpl31-ps22	0	0	0	0	0	0	0	0	0	0	0	0
Efcab6	0	0	0	0	0	0	0	0	0	0	0	0
Gm41372	0	0	0	0	0	0	0	0	0	0	0	0
Gm41370	0	0	0	0	0	0	0	0	0	0	0	0
Gm52172	0	0	0	0	0	0	0	0	0	0	0	0
Mpped1	0	0	0	0	0	0	0	0	0	2	0	0
Gm33324	0	0	0	0	0	0	0	0	0	0	0	0
Gm52183	0	0	0	0	0	0	0	0	0	0	0	0
Scube1	3	1	2	2	1	0	0	0	2	0	1	5
Gm52182	7	3	7	2	8	11	7	4	22	17	10	9
Ttll12	164	157	129	110	161	188	149	133	356	397	312	234
Tspo	535	534	542	451	764	672	611	445	1362	1509	1073	799
Mcat	100	78	87	60	116	141	148	61	154	123	122	115
Gm46495	0	0	0	0	0	0	0	0	0	0	0	0
Bik	1	0	1	1	2	1	3	0	4	5	2	2
Ttll1	77	61	64	44	68	47	44	50	114	108	93	83
Gm52181	0	0	0	0	0	0	0	0	0	0	0	0
Gm5417	1	1	0	2	1	0	3	0	0	0	0	1
Gm41368	103	102	84	61	116	125	112	83	171	180	133	130
Pacsin2	1004	783	689	519	993	1040	834	762	1673	1663	1256	1184
1700001L05Rik	36	36	39	23	91	127	114	57	122	85	67	89
Gm51290	0	0	0	0	0	0	0	0	0	0	0	0
Arfgap3	397	406	355	302	681	676	614	471	648	608	423	390
Gm32788	12	8	7	8	16	29	6	12	7	9	4	4
C130064B19Rik	0	1	0	1	0	2	1	1	0	0	0	0
Gm32886	0	0	0	0	0	1	0	0	0	0	0	0
Gm41367	0	0	0	0	0	2	0	1	0	0	0	0
A4galt	0	0	1	0	2	2	1	0	2	0	1	0
Cyb5r3	3061	2898	2642	2172	3870	3652	2905	2401	3568	3264	3027	2473
Rnu12	2	0	0	1	0	1	0	0	0	0	1	1
Poldip3	880	831	820	605	1288	1153	977	920	1438	1248	1121	1025
Rrp7a	548	473	451	335	746	835	699	503	857	866	692	577
Serhl	237	178	175	168	271	316	269	190	378	361	365	304
Gm41366	0	0	0	0	0	0	0	0	0	0	0	0
Gm32620	3	0	2	5	8	7	1	0	5	5	5	1
Nfam1	3935	3182	3112	2514	3025	3459	2597	2380	4764	3980	4012	3715
AW121686	1	2	1	0	4	17	3	3	3	5	2	9
Mir3080	0	0	0	0	0	0	0	0	0	0	0	1
Gm20324	7	5	10	9	8	12	10	11	12	6	10	6
Tbrg3	33	23	21	17	22	36	35	33	21	17	24	29
Tcf20	748	598	667	450	856	1026	750	604	1214	913	920	943
Cyp2d26	0	0	0	0	4	2	0	0	0	0	1	0
Cyp2d41-ps	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2d40	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2d39-ps	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2d38-ps	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2d37-ps	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2d36-ps	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2d35-ps	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2d13	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2d34	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2d34-ps	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2d33-ps	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2d12	0	0	0	0	0	0	0	0	0	0	0	0
Gm28023	0	0	0	0	0	0	0	0	0	0	0	0
Gm46524	0	0	0	0	0	0	0	0	0	0	0	0
Gm46525	0	0	0	0	0	0	0	0	0	0	0	0
Tdg-ps	0	0	0	0	0	0	0	0	0	0	1	0
Gm27825	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2d32-ps	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2d9	0	0	0	0	0	0	0	0	0	0	0	0
Gm46501	0	0	0	0	0	0	0	0	0	0	0	0
Gm19267	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2d10	0	0	0	0	0	0	0	0	0	0	0	0
Mir7684	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2d11	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2d22	3	0	1	3	2	1	2	0	1	0	0	1
Ndufa6	375	321	320	249	418	363	344	311	488	442	361	373
Smdt1	559	431	465	381	670	634	540	434	1043	930	712	660
n-R5s41	0	0	0	0	0	0	0	0	0	0	0	0
Pheta2	12	3	14	3	4	12	8	11	13	11	18	13
Naga	1562	1363	1324	1048	2202	2184	1767	1340	2063	1750	1688	1417
Wbp2nl	0	0	0	0	0	0	0	0	1	0	2	0
Septin3	32	29	30	30	36	24	35	34	22	37	34	28
Gm52180	0	0	4	0	0	1	0	1	2	0	1	0
1500009C09Rik	0	0	0	2	0	0	0	3	0	0	0	0
Cenpm	26	24	14	20	19	13	15	22	227	227	203	147
Tnfrsf13c	3	6	8	2	8	4	2	4	2	0	5	1
Shisa8	3	2	1	2	3	2	2	0	2	1	5	3
Mir33	0	0	0	0	0	0	0	0	0	0	0	0
Srebf2	1526	1255	1199	913	1845	1807	1335	1241	3108	2981	2623	2071
Ccdc134	145	97	117	71	150	144	170	83	230	258	168	141
Mei1	1	0	0	0	0	0	0	0	0	0	0	0
4930407I10Rik	0	0	0	0	0	0	0	0	0	0	0	0
Snu13	78	60	61	44	73	96	66	69	146	148	108	95
Desi1	225	201	193	163	207	244	226	193	337	349	287	269
Xrcc6	201	170	183	126	143	163	166	109	495	489	400	396
1700029P11Rik	0	0	1	1	0	1	0	0	2	0	1	0
Gm5805	15	14	20	18	17	10	16	11	20	14	17	22
Cyp2d67-ps	0	1	0	0	0	0	0	0	0	0	0	0
Pmm1	56	49	57	39	59	64	50	58	103	97	64	92
Csdc2	1	0	2	5	2	0	1	3	0	2	1	0
Polr3h	59	32	48	33	81	64	46	45	127	109	101	76
Aco2	1481	1362	1220	997	1973	2000	1569	1354	3038	2938	2281	2180
Phf5a	212	183	202	164	275	281	256	217	453	429	347	301
Tob2	1010	931	783	566	1080	1015	760	740	1066	854	845	662
Gm8444	1	0	1	0	1	2	0	0	1	0	0	0
Tef	72	81	69	43	205	366	178	108	200	122	96	84
Gm17597	0	0	0	0	0	0	1	0	0	0	0	0
Zc3h7b	308	251	225	189	341	408	319	216	439	391	440	283
Rangap1	1057	901	937	674	832	962	792	683	3121	3106	2496	1960
Chadl	35	21	30	15	35	29	30	17	53	38	31	23
Gm18284	4	1	8	6	10	10	4	5	9	9	7	3
L3mbtl2	370	303	274	198	418	515	415	242	674	557	503	409
Gm22067	1	0	2	0	0	0	0	0	0	0	0	0
Ep300	1860	1783	1610	1288	1518	1823	1283	1182	2186	1985	1714	1613
Gm5218	0	0	0	1	0	0	0	0	0	0	0	1
Rbx1	390	347	326	276	449	471	379	304	643	628	466	504
Gm17025	1	2	8	2	2	1	1	3	3	3	5	3
Dnajb7	1	1	0	1	1	2	2	1	4	2	4	8
Xpnpep3	138	141	135	118	126	157	151	125	270	233	204	182
St13	1458	1537	1220	967	1614	1486	1313	1326	2077	2178	1617	1725
Slc25a17	226	219	228	192	261	320	251	217	370	293	256	312
Gm52179	0	0	0	0	0	0	0	0	0	0	0	0
8430426J06Rik	0	0	0	0	0	0	0	0	0	0	0	0
Mchr1	0	0	0	0	0	0	0	0	0	0	0	0
Gm31608	0	0	0	0	0	0	0	0	0	0	0	0
4930483J18Rik	0	0	0	0	0	0	0	0	0	0	0	0
Gm25131	2	0	1	2	1	0	0	0	1	2	1	2
Mrtfa	1023	828	762	622	645	674	470	544	1102	837	828	645
Sgsm3	531	408	379	303	445	488	429	291	640	505	545	463
Gm6612	0	1	1	0	1	0	0	3	0	0	0	0
Adsl	324	254	265	184	331	333	299	186	630	638	487	523
Mir5113	0	0	0	0	0	0	0	0	0	0	0	0
Tnrc6b	955	902	744	635	756	600	494	721	1045	830	817	784
A430088P11Rik	27	24	18	26	67	87	62	23	33	24	29	32
Gm19141	0	0	0	0	0	0	0	0	0	0	0	0
Gm23220	0	0	0	0	0	0	0	0	0	0	0	0
Gm31369	0	0	0	0	0	0	0	0	0	0	0	0
Gm41363	0	0	0	0	0	0	0	0	0	0	0	0
Gm31319	0	0	0	0	0	0	0	0	0	0	0	0
Cacna1i	8	12	6	8	5	0	6	8	1	1	3	1
Rps19bp1	122	102	90	70	140	141	160	111	201	203	153	129
Atf4	1221	1094	1077	903	2157	1902	1556	1532	1820	1589	1341	1239
Mief1	302	252	263	205	426	442	389	311	441	448	347	332
Gm8375	0	0	0	0	0	1	0	0	0	0	1	0
Gm46521	0	0	0	0	0	0	0	0	0	0	0	0
Mgat3	0	0	0	3	1	0	7	4	0	1	0	1
Tab1	129	115	105	87	159	227	196	88	168	166	134	167
Gm31253	70	56	45	28	113	144	99	64	83	60	59	67
Syngr1	0	4	0	12	7	6	14	8	10	12	9	7
Gm31134	0	0	0	0	0	0	0	0	0	0	0	0
Gm24204	0	0	0	0	0	0	0	0	0	0	0	0
Snord43	1	1	0	0	2	5	1	0	3	0	1	3
LOC115488570	0	0	0	0	0	0	0	0	0	0	0	0
Snord83b	3	3	2	1	9	13	12	5	7	6	4	3
Rpl3	2823	2599	2526	2035	3391	3236	3034	2372	5094	4753	4161	3899
Gm41362	0	0	0	0	1	1	0	0	0	0	0	0
Gm41361	1	1	1	0	4	1	4	3	0	0	1	0
Mir7213	0	0	0	0	0	0	0	0	0	0	0	0
Pdgfb	35	38	22	21	216	206	146	121	14	16	13	30
Gm52191	0	0	0	0	7	6	2	2	0	0	0	0
D730005E14Rik	29	30	23	13	27	43	37	21	51	50	31	22
Cbx6	4	5	8	13	8	6	9	9	12	16	7	8
Nptxr	8	7	9	1	8	6	8	6	21	26	15	13
Npcd	0	0	0	0	0	0	0	0	0	0	0	0
Gm30977	5	4	7	1	3	5	1	6	13	17	11	5
Dnal4	252	253	249	177	270	281	249	197	333	283	258	227
Gm16576	36	21	23	12	17	23	17	10	37	20	23	18
Sun2	2626	2155	2056	1660	3139	2862	1995	2002	3152	2091	2287	1886
Gtpbp1	578	542	492	409	753	555	484	480	773	689	659	642
Josd1	448	454	364	318	705	487	404	402	493	398	446	377
Tomm22	643	519	571	462	692	578	537	440	1042	933	817	728
Gm30877	20	24	24	14	12	19	13	21	47	52	38	35
Cby1	60	43	53	51	41	57	50	49	135	120	119	93
Fam227a	8	5	6	2	2	2	1	4	8	5	1	5
